timestamp,junction,vehicle_count,average_speed_kmph,congestion_level
2026-09-18 08:00,J1,85,42,Low
2026-09-18 08:05,J1,92,40,Low
2026-09-18 08:10,J1,101,38,Medium
2026-09-18 08:15,J1,110,35,Medium
2026-09-18 08:20,J1,118,32,Medium
2026-09-18 08:00,J2,120,32,Medium
2026-09-18 08:05,J2,128,30,Medium
2026-09-18 08:10,J2,135,28,High
2026-09-18 08:15,J2,142,26,High
2026-09-18 08:20,J2,150,24,High
2026-09-18 08:00,J3,165,21,High
2026-09-18 08:05,J3,172,20,Very High
2026-09-18 08:10,J3,180,18,Very High
2026-09-18 08:15,J3,188,17,Very High
2026-09-18 08:20,J3,195,15,Very High
2026-09-18 08:00,J4,95,38,Low
2026-09-18 08:05,J4,102,36,Medium
2026-09-18 08:10,J4,108,34,Medium
2026-09-18 08:15,J4,115,32,Medium
2026-09-18 08:20,J4,122,30,Medium
2026-09-18 08:00,J5,128,24,High
2026-09-18 08:05,J5,136,23,High
2026-09-18 08:10,J5,145,21,High
2026-09-18 08:15,J5,153,20,High
2026-09-18 08:20,J5,162,18,Very High
2026-09-18 08:00,J6,180,18,Very High
2026-09-18 08:05,J6,188,17,Very High
2026-09-18 08:10,J6,195,16,Very High
2026-09-18 08:15,J6,202,15,Very High
2026-09-18 08:20,J6,210,14,Very High
2026-09-18 08:00,J7,110,34,Medium
2026-09-18 08:05,J7,116,33,Medium
2026-09-18 08:10,J7,123,31,Medium
2026-09-18 08:15,J7,130,29,High
2026-09-18 08:20,J7,138,27,High
2026-09-18 08:00,J8,145,27,High
2026-09-18 08:05,J8,152,25,High
2026-09-18 08:10,J8,160,23,High
2026-09-18 08:15,J8,168,21,High
2026-09-18 08:20,J8,175,19,Very High
2026-09-18 08:00,J9,70,45,Low
2026-09-18 08:05,J9,76,44,Low
2026-09-18 08:10,J9,82,42,Low
2026-09-18 08:15,J9,89,40,Low
2026-09-18 08:20,J9,96,38,Medium
