timestamp,junction,junction_name,vehicle_count,road_capacity,utilization_percent,average_speed_kmph,congestion_level
2026-09-22T20:22:37.962491,J1,Main Market,169,300,56.3,35.4,LOW
2026-09-22T20:22:37.962491,J2,Railway Square,237,350,67.7,27.43,MEDIUM
2026-09-22T20:22:37.962491,J3,City Center,372,400,93.0,14.59,HIGH
2026-09-22T20:22:37.962491,J4,University Road,150,300,50.0,39.79,LOW
2026-09-22T20:22:37.962491,J5,Hospital Road,202,280,72.1,22.42,MEDIUM
2026-09-22T20:22:37.962491,J6,Airport Road,236,350,67.4,28.43,MEDIUM
2026-09-22T20:22:42.987581,J1,Main Market,171,300,57.0,34.29,LOW
2026-09-22T20:22:42.987581,J2,Railway Square,237,350,67.7,29.06,MEDIUM
2026-09-22T20:22:42.987581,J3,City Center,345,400,86.2,17.58,MEDIUM
2026-09-22T20:22:42.987581,J4,University Road,157,300,52.3,37.83,LOW
2026-09-22T20:22:42.987581,J5,Hospital Road,221,280,78.9,22.28,MEDIUM
2026-09-22T20:22:42.987581,J6,Airport Road,224,350,64.0,29.32,MEDIUM
2026-09-22T20:22:48.035473,J1,Main Market,172,300,57.3,31.52,LOW
2026-09-22T20:22:48.035473,J2,Railway Square,223,350,63.7,23.74,MEDIUM
2026-09-22T20:22:48.035473,J3,City Center,326,400,81.5,14.07,HIGH
2026-09-22T20:22:48.035473,J4,University Road,151,300,50.3,32.05,LOW
2026-09-22T20:22:48.035473,J5,Hospital Road,225,280,80.4,14.03,HIGH
2026-09-22T20:22:48.035473,J6,Airport Road,232,350,66.3,29.35,MEDIUM
2026-09-22T20:22:53.067882,J1,Main Market,190,300,63.3,23.86,MEDIUM
2026-09-22T20:22:53.067882,J2,Railway Square,216,350,61.7,29.49,MEDIUM
2026-09-22T20:22:53.067882,J3,City Center,371,400,92.8,21.38,HIGH
2026-09-22T20:22:53.067882,J4,University Road,166,300,55.3,34.35,LOW
2026-09-22T20:22:53.067882,J5,Hospital Road,199,280,71.1,20.97,MEDIUM
2026-09-22T20:22:53.067882,J6,Airport Road,229,350,65.4,23.56,MEDIUM
2026-09-22T20:22:58.119753,J1,Main Market,166,300,55.3,39.33,LOW
2026-09-22T20:22:58.119753,J2,Railway Square,230,350,65.7,20.71,MEDIUM
2026-09-22T20:22:58.119753,J3,City Center,382,400,95.5,17.1,HIGH
2026-09-22T20:22:58.119753,J4,University Road,164,300,54.7,37.99,LOW
2026-09-22T20:22:58.119753,J5,Hospital Road,192,280,68.6,25.58,MEDIUM
2026-09-22T20:22:58.119753,J6,Airport Road,232,350,66.3,26.26,MEDIUM
2026-09-22T20:23:03.160601,J1,Main Market,185,300,61.7,24.87,MEDIUM
2026-09-22T20:23:03.160601,J2,Railway Square,233,350,66.6,29.79,MEDIUM
2026-09-22T20:23:03.160601,J3,City Center,339,400,84.8,13.47,HIGH
2026-09-22T20:23:03.160601,J4,University Road,163,300,54.3,31.72,LOW
2026-09-22T20:23:03.160601,J5,Hospital Road,185,280,66.1,22.32,MEDIUM
2026-09-22T20:23:03.160601,J6,Airport Road,208,350,59.4,39.94,LOW
2026-09-22T20:23:08.204929,J1,Main Market,189,300,63.0,22.48,MEDIUM
2026-09-22T20:23:08.204929,J2,Railway Square,254,350,72.6,22.8,MEDIUM
2026-09-22T20:23:08.204929,J3,City Center,371,400,92.8,14.21,HIGH
2026-09-22T20:23:08.204929,J4,University Road,142,300,47.3,30.5,LOW
2026-09-22T20:23:08.204929,J5,Hospital Road,201,280,71.8,23.07,MEDIUM
2026-09-22T20:23:08.204929,J6,Airport Road,212,350,60.6,20.43,MEDIUM
2026-09-22T20:23:13.236791,J1,Main Market,170,300,56.7,34.81,LOW
2026-09-22T20:23:13.236791,J2,Railway Square,254,350,72.6,21.87,MEDIUM
2026-09-22T20:23:13.236791,J3,City Center,377,400,94.2,16.16,HIGH
2026-09-22T20:23:13.236791,J4,University Road,148,300,49.3,38.75,LOW
2026-09-22T20:23:13.236791,J5,Hospital Road,210,280,75.0,25.9,MEDIUM
2026-09-22T20:23:13.236791,J6,Airport Road,234,350,66.9,25.82,MEDIUM
2026-09-22T20:23:18.257153,J1,Main Market,176,300,58.7,38.15,LOW
2026-09-22T20:23:18.257153,J2,Railway Square,253,350,72.3,23.04,MEDIUM
2026-09-22T20:23:18.257153,J3,City Center,391,400,97.8,20.63,HIGH
2026-09-22T20:23:18.257153,J4,University Road,152,300,50.7,33.49,LOW
2026-09-22T20:23:18.257153,J5,Hospital Road,219,280,78.2,28.55,MEDIUM
2026-09-22T20:23:18.257153,J6,Airport Road,231,350,66.0,22.74,MEDIUM
2026-09-22T20:23:23.461962,J1,Main Market,165,300,55.0,30.57,LOW
2026-09-22T20:23:23.461962,J2,Railway Square,228,350,65.1,21.59,MEDIUM
2026-09-22T20:23:23.461962,J3,City Center,377,400,94.2,12.54,HIGH
2026-09-22T20:23:23.461962,J4,University Road,167,300,55.7,35.57,LOW
2026-09-22T20:23:23.461962,J5,Hospital Road,211,280,75.4,28.62,MEDIUM
